x	y	z
22.6262	11.1444	0
36.8169	17.9391	0
-31.4026	12.5252	0
63.0183	11.4177	0
-44.5141	15.9068	0
76.2131	3.44796	0
-61.7245	-0.457354	0
92.1444	-2.22874	0
-95.2408	4.67297	0
130.117	-9.63399	0
11.3661	15.9656	0
125.882	8.54702	0
19.431	-8.13229	0
21.623	27.8375	0
27.5264	-22.658	0
-118.76	-7.81231	0
78.2548	112.991	0
37.1781	35.5476	0
44.2983	-12.9313	0
-22.7433	17.3069	0
-51.6582	-14.9258	0
76.6063	20.3085	0
60.5279	-5.02384	0
-72.2273	18.0131	0
-90.8348	-27.753	0
93.0418	16.2654	0
75.8452	-14.6089	0
-90.2322	21.2674	0
-70.0285	-13.9109	0
105.493	35.6056	0
74.7426	45.7274	0
-112.681	7.09014	0
108.75	-44.8638	0
124.473	27.9775	0
144.797	-21.0964	0
-131.309	32.6043	0
-15.7795	-87.3669	0
7.42829	40.7267	0
-10.4276	-35.2051	0
24.7787	45.7958	0
14.6139	-35.4239	0
-104.122	-31.3934	0
-38.5851	-46.7748	0
42.5335	52.1287	0
59.3139	-21.8765	0
-73.5116	59.2573	0
-20.3187	26.1796	0
67.5577	38.3856	0
93.3309	-39.7434	0
-77.8708	35.0367	0
30.6681	99.5645	0
86.8026	34.2537	0
96.9055	-55.1287	0
-88.7838	32.5102	0
-93.5584	-41.6802	0
121.114	46.3549	0
124.509	-28.6322	0
95.1414	41.8136	0
-104.288	-7.74334	0
139.362	39.0171	0
139.646	-39.0059	0
-10.2328	38.2776	0
-133.538	-33.8464	0
13.6818	56.8329	0
10.0715	-65.2221	0
-20.4117	116.453	0
-7.3905	-61.2175	0
28.6489	61.9371	0
35.6771	-57.7343	0
33.5774	110.296	0
-77.7326	-26.9744	0
61.3395	55.9239	0
67.4859	-63.3269	0
-62.6203	75.6725	0
81.6344	-49.9661	0
78.1505	61.3987	0
85.5876	-69.0099	0
-89.4731	49.4356	0
-75.8454	-43.4327	0
151.481	26.7171	0
-4.67394	-103.995	0
-27.4443	-110.68	0
-110.916	-45.5251	0
136.816	58.026	0
127.259	-70.8094	0
-115.07	39.8169	0
-128.842	-53.1411	0
-18.3638	64.4354	0
15.4896	-82.0273	0
17.5373	73.8797	0
31.9547	-75.9114	0
-26.0564	87.5887	0
-2.5054	-76.9799	0
65.2448	73.8129	0
63.9641	-80.1466	0
-44.8117	81.6151	0
-49.842	-96.6001	0
82.2	79.4314	0
79.9496	-87.7765	0
-82.3865	75.2767	0
-68.0744	-57.7706	0
93.9136	66.5378	0
104.455	-100.42	0
-98.4055	65.3735	0
-32.8555	54.1339	0
122.628	81.363	0
124.264	-45.8194	0
-114.708	57.949	0
-112.259	-79.7549	0
5.27765	109.197	0
31.0048	-112.914	0
-8.77242	95.6231	0
-28.841	-125.914	0
45.193	118.703	0
47.5803	-105.49	0
-23.8521	103.555	0
-8.74227	-129.965	0
68.7902	92.9486	0
64.0001	-97.5005	0
