
Microenvironment summary: 
microenvironment: 
Microenvironment_private_data:
temporary_density_vectors1:
38 0.00288548 
38 0.00288545 
38 0.00288537 
38 0.00288526 
38 0.00288511 
38 0.00288492 
38 0.0028847 
38 0.00288443 
38 0.00288414 
38 0.00288381 
38 0.00288345 
38 0.00288307 
38 0.00288266 
38 0.00288224 
38 0.0028818 
38 0.00288137 
38 0.00288093 
38 0.00288052 
38 0.00288013 
38 0.00287977 
38 0.00287945 
38 0.00287918 
38 0.00287897 
38 0.00287882 
38 0.00287874 
38 0.00287873 
38 0.00287878 
38 0.00287891 
38 0.0028791 
38 0.00287935 
38 0.00287965 
38 0.00288 
38 0.00288039 
38 0.0028808 
38 0.00288122 
38 0.00288166 
38 0.0028821 
38 0.00288253 
38 0.00288294 
38 0.00288333 
38 0.0028837 
38 0.00288404 
38 0.00288434 
38 0.00288461 
38 0.00288484 
38 0.00288504 
38 0.00288519 
38 0.00288531 
38 0.00288539 
38 0.00288543 
38 0.00288545 
37.1685 0.00288541 
37.0475 0.00288533 
36.9324 0.00288521 
36.8226 0.00288506 
36.7178 0.00288486 
36.6175 0.00288463 
36.5217 0.00288436 
36.43 0.00288405 
36.3424 0.00288371 
36.2587 0.00288334 
36.179 0.00288293 
36.1034 0.00288251 
36.0319 0.00288207 
35.9647 0.00288162 
35.902 0.00288116 
35.8442 0.00288071 
35.7915 0.00288028 
35.7443 0.00287986 
35.703 0.00287949 
35.668 0.00287915 
35.6398 0.00287887 
35.6185 0.00287865 
35.6045 0.0028785 
35.5979 0.00287841 
35.5989 0.0028784 
35.6071 0.00287846 
35.6225 0.00287859 
35.6448 0.00287879 
35.6738 0.00287905 
35.7093 0.00287937 
35.7508 0.00287973 
35.798 0.00288013 
35.8506 0.00288056 
35.9082 0.00288101 
35.9705 0.00288147 
36.0373 0.00288192 
36.1084 0.00288237 
36.1836 0.0028828 
36.2628 0.00288321 
36.346 0.00288359 
36.4332 0.00288395 
36.5245 0.00288426 
36.62 0.00288454 
36.7199 0.00288478 
36.8244 0.00288498 
36.9339 0.00288515 
37.0488 0.00288527 
37.1696 0.00288535 
38 0.00288539 
38 0.00288537 
37.0436 0.00288533 
36.9031 0.00288525 
36.7694 0.00288512 
36.6418 0.00288496 
36.5198 0.00288475 
36.4032 0.0028845 
36.2915 0.0028842 
36.1847 0.00288387 
36.0825 0.00288351 
35.9848 0.0028831 
35.8918 0.00288267 
35.8034 0.00288221 
35.7198 0.00288173 
35.6411 0.00288124 
35.5678 0.00288075 
35.5 0.00288026 
35.4382 0.00287979 
35.3828 0.00287934 
35.3342 0.00287893 
35.2931 0.00287856 
35.26 0.00287826 
35.235 0.00287801 
35.2185 0.00287784 
35.2108 0.00287775 
35.2119 0.00287773 
35.2217 0.0028778 
35.2398 0.00287794 
35.2661 0.00287816 
35.3002 0.00287845 
35.3418 0.00287879 
35.3905 0.00287919 
35.4459 0.00287963 
35.5076 0.0028801 
35.575 0.00288058 
35.648 0.00288108 
35.7261 0.00288157 
35.8092 0.00288206 
35.8971 0.00288253 
35.9896 0.00288297 
36.0867 0.00288338 
36.1884 0.00288376 
36.2948 0.0028841 
36.406 0.0028844 
36.5223 0.00288466 
36.6439 0.00288488 
36.7712 0.00288505 
36.9047 0.00288518 
37.0449 0.00288527 
38 0.00288531 
38 0.00288526 
36.9253 0.00288522 
36.7661 0.00288513 
36.6144 0.00288499 
36.4694 0.0028848 
36.3307 0.00288457 
36.1979 0.0028843 
36.0707 0.00288397 
35.9488 0.00288361 
35.8321 0.0028832 
35.7205 0.00288275 
35.614 0.00288227 
35.5127 0.00288176 
35.4167 0.00288123 
35.3264 0.00288068 
35.242 0.00288013 
35.1639 0.00287958 
35.0926 0.00287904 
35.0286 0.00287854 
34.9724 0.00287808 
34.9248 0.00287766 
34.8864 0.00287732 
34.8575 0.00287704 
34.8384 0.00287685 
34.8295 0.00287674 
34.8309 0.00287672 
34.8423 0.0028768 
34.8634 0.00287696 
34.8938 0.00287721 
34.9334 0.00287753 
34.9815 0.00287792 
35.0378 0.00287837 
35.1018 0.00287886 
35.1728 0.00287939 
35.2505 0.00287994 
35.3344 0.00288049 
35.4241 0.00288105 
35.5194 0.00288159 
35.6201 0.00288211 
35.7259 0.0028826 
35.8369 0.00288306 
35.953 0.00288348 
36.0744 0.00288386 
36.2011 0.00288419 
36.3335 0.00288448 
36.4718 0.00288472 
36.6164 0.00288491 
36.7678 0.00288505 
36.9267 0.00288515 
38 0.0028852 
38 0.00288512 
36.8129 0.00288507 
36.6358 0.00288496 
36.4667 0.00288481 
36.3048 0.0028846 
36.1498 0.00288434 
36.0012 0.00288403 
35.8585 0.00288367 
35.7217 0.00288325 
35.5905 0.00288279 
35.4649 0.00288229 
35.3448 0.00288174 
35.2304 0.00288116 
35.1219 0.00288055 
35.0196 0.00287992 
34.9238 0.00287929 
34.8349 0.00287865 
34.7537 0.00287804 
34.6806 0.00287746 
34.6163 0.00287692 
34.5618 0.00287645 
34.5177 0.00287604 
34.4846 0.00287572 
34.4626 0.00287549 
34.4525 0.00287537 
34.4543 0.00287535 
34.4675 0.00287543 
34.4918 0.00287562 
34.5268 0.00287591 
34.5721 0.00287628 
34.6271 0.00287674 
34.6915 0.00287725 
34.7645 0.00287782 
34.8454 0.00287843 
34.9336 0.00287906 
35.0288 0.0028797 
35.1304 0.00288033 
35.2381 0.00288095 
35.3517 0.00288155 
35.471 0.00288211 
35.5959 0.00288263 
35.7264 0.0028831 
35.8626 0.00288353 
36.0047 0.00288391 
36.1528 0.00288423 
36.3074 0.0028845 
36.4689 0.00288472 
36.6377 0.00288488 
36.8144 0.00288499 
38 0.00288504 
38 0.00288494 
36.706 0.00288488 
36.5117 0.00288476 
36.3257 0.00288459 
36.1475 0.00288435 
35.9765 0.00288405 
35.8123 0.0028837 
35.6545 0.00288328 
35.5029 0.00288281 
35.3572 0.00288228 
35.2175 0.0028817 
35.0838 0.00288107 
34.9561 0.00288039 
34.8347 0.00287969 
34.7199 0.00287896 
34.6122 0.00287822 
34.5122 0.00287748 
34.4204 0.00287676 
34.3376 0.00287608 
34.2647 0.00287545 
34.2026 0.00287489 
34.1525 0.00287441 
34.1148 0.00287403 
34.0898 0.00287376 
34.0784 0.00287361 
34.0807 0.00287358 
34.0959 0.00287368 
34.1237 0.00287391 
34.1636 0.00287424 
34.2151 0.00287469 
34.2776 0.00287522 
34.3505 0.00287583 
34.433 0.0028765 
34.5243 0.00287721 
34.6236 0.00287795 
34.7304 0.00287869 
34.8443 0.00287943 
34.9647 0.00288015 
35.0915 0.00288084 
35.2243 0.00288148 
35.3632 0.00288209 
35.508 0.00288263 
35.659 0.00288312 
35.8161 0.00288356 
35.9798 0.00288393 
36.1503 0.00288423 
36.328 0.00288448 
36.5136 0.00288467 
36.7076 0.00288479 
38 0.00288485 
38 0.00288472 
36.6041 0.00288465 
36.3932 0.00288452 
36.1911 0.00288432 
35.997 0.00288405 
35.8104 0.00288371 
35.6309 0.0028833 
35.4581 0.00288282 
35.2918 0.00288227 
35.1317 0.00288166 
34.9778 0.00288098 
34.8302 0.00288025 
34.6889 0.00287947 
34.5543 0.00287864 
34.4267 0.00287779 
34.3066 0.00287692 
34.1947 0.00287605 
34.0917 0.0028752 
33.9984 0.00287439 
33.9161 0.00287364 
33.8459 0.00287297 
33.7893 0.00287239 
33.7465 0.00287194 
33.7182 0.00287161 
33.7054 0.00287143 
33.7084 0.0028714 
33.7259 0.00287152 
33.7576 0.00287178 
33.8029 0.00287219 
33.8612 0.00287272 
33.9316 0.00287335 
34.0138 0.00287408 
34.1065 0.00287488 
34.2087 0.00287572 
34.3196 0.00287659 
34.4386 0.00287747 
34.5651 0.00287833 
34.6986 0.00287917 
34.8387 0.00287998 
34.9853 0.00288073 
35.1382 0.00288143 
35.2973 0.00288207 
35.4629 0.00288263 
35.6349 0.00288313 
35.8138 0.00288356 
35.9998 0.00288391 
36.1934 0.0028842 
36.3952 0.00288441 
36.6058 0.00288455 
38 0.00288462 
38 0.00288447 
36.507 0.00288439 
36.2802 0.00288424 
36.0624 0.00288401 
35.8528 0.0028837 
35.6511 0.0028833 
35.4566 0.00288283 
35.269 0.00288228 
35.0881 0.00288165 
34.9136 0.00288094 
34.7454 0.00288015 
34.5837 0.00287929 
34.4285 0.00287838 
34.2802 0.00287741 
34.1392 0.0028764 
34.0061 0.00287538 
33.8816 0.00287435 
33.7665 0.00287333 
33.662 0.00287237 
33.5694 0.00287146 
33.4902 0.00287066 
33.4263 0.00286997 
33.378 0.00286941 
33.346 0.00286902 
33.3318 0.0028688 
33.3356 0.00286876 
33.3559 0.0028689 
33.3919 0.00286922 
33.4431 0.00286971 
33.5088 0.00287034 
33.588 0.00287111 
33.6801 0.00287198 
33.7838 0.00287293 
33.8977 0.00287394 
34.0209 0.00287497 
34.1527 0.00287601 
34.2922 0.00287703 
34.4391 0.00287802 
34.593 0.00287897 
34.7535 0.00287985 
34.9205 0.00288066 
35.0939 0.0028814 
35.274 0.00288206 
35.4608 0.00288264 
35.6545 0.00288313 
35.8557 0.00288354 
36.0647 0.00288387 
36.2821 0.00288411 
36.5086 0.00288427 
38 0.00288435 
38 0.00288419 
36.4143 0.0028841 
36.1723 0.00288392 
35.9393 0.00288366 
35.7149 0.0028833 
35.4983 0.00288285 
35.2891 0.0028823 
35.0869 0.00288166 
34.8915 0.00288093 
34.7025 0.00288011 
34.5199 0.00287919 
34.3439 0.00287819 
34.1744 0.00287712 
34.012 0.00287598 
33.8569 0.0028748 
33.71 0.00287358 
33.572 0.00287236 
33.4439 0.00287115 
33.3271 0.00286999 
33.223 0.00286891 
33.1338 0.00286793 
33.0619 0.00286709 
33.0074 0.00286642 
32.9713 0.00286594 
32.9555 0.00286567 
32.9606 0.00286562 
32.984 0.00286579 
33.025 0.00286618 
33.0828 0.00286677 
33.1567 0.00286754 
33.2454 0.00286846 
33.3485 0.00286951 
33.464 0.00287065 
33.5905 0.00287185 
33.7268 0.00287308 
33.872 0.00287432 
34.0252 0.00287553 
34.186 0.00287669 
34.3539 0.0028778 
34.5285 0.00287883 
34.7097 0.00287978 
34.8975 0.00288064 
35.092 0.00288141 
35.2933 0.00288207 
35.5017 0.00288264 
35.7177 0.00288312 
35.9416 0.00288349 
36.1741 0.00288377 
36.4158 0.00288396 
38 0.00288405 
38 0.00288388 
36.3259 0.00288378 
36.0693 0.00288357 
35.8218 0.00288327 
35.5829 0.00288286 
35.3519 0.00288234 
35.1283 0.00288171 
34.9117 0.00288098 
34.7017 0.00288013 
34.4983 0.00287918 
34.3012 0.00287811 
34.1105 0.00287695 
33.9264 0.00287569 
33.7492 0.00287436 
33.5794 0.00287296 
33.4178 0.00287152 
33.2652 0.00287007 
33.1229 0.00286863 
32.9924 0.00286724 
32.8756 0.00286593 
32.775 0.00286475 
32.6942 0.00286373 
32.6328 0.00286291 
32.5919 0.00286232 
32.5744 0.00286199 
32.5812 0.00286192 
32.6084 0.00286213 
32.655 0.0028626 
32.7202 0.00286332 
32.8033 0.00286425 
32.9026 0.00286537 
33.0177 0.00286664 
33.1463 0.00286801 
33.2864 0.00286945 
33.4367 0.00287092 
33.5961 0.00287238 
33.7637 0.00287381 
33.9389 0.00287518 
34.1211 0.00287648 
34.3102 0.00287769 
34.5058 0.00287879 
34.7079 0.00287979 
34.9167 0.00288067 
35.1324 0.00288144 
35.3552 0.0028821 
35.5855 0.00288264 
35.8239 0.00288308 
36.071 0.0028834 
36.3273 0.00288361 
38 0.00288372 
38 0.00288354 
36.2418 0.00288342 
35.9712 0.00288319 
35.7097 0.00288284 
